post_id,run_id,scraped_at,price,year,make,model,mileage,body_type,color,condition,title_status,city,state,number_of_owners,seller_type,llm_provider,llm_model,llm_ts,source_txt
7919994197,20260326140018,2026-03-26T14:00:18Z,25000,2001,Ford,Mustang GT,6793,coupe,yellow,like new,clean,,,,,vertex,gemini-2.5-flash,2026-03-26T14:58:15.629012Z,scrapes/20260326140018/7919994197.txt
7920019541,20260326150006,2026-03-26T15:00:06Z,1950,2012,Chrysler,town & country,165000,minivan,,good,clean,,,,,vertex,gemini-2.5-flash,2026-03-26T15:12:04.230650Z,scrapes/20260326150006/7920019541.txt
7920234052,20260326220006,2026-03-26T22:00:06Z,3400,2011,Honda,Civic,56000,sedan,white,excellent,clean,,,,,vertex,gemini-2.5-flash,2026-03-26T22:12:17.734448Z,scrapes/20260326220006/7920234052.txt
7920279528,20260326220006,2026-03-26T22:00:06Z,9998,2016,Subaru,Crosstrek,147973,Wagon,White,,clean,,,,,vertex,gemini-2.5-flash,2026-03-26T22:12:21.584331Z,scrapes/20260326220006/7920279528.txt
7920404383,20260326180046,2026-03-26T18:00:46Z,5500,1995,chevrolet,camaro,188000,hatchback,Plum purple,excellent,missing,,,,,vertex,gemini-2.5-flash,2026-03-26T18:12:21.118381Z,scrapes/20260326180046/7920404383.txt
7920427485,20260327130020,2026-03-27T13:00:20Z,6985,2009,Volkswagen,Eos Komfort Convertible,65000,convertible,black,excellent,clean,,,,,vertex,gemini-2.5-flash,2026-03-27T13:12:17.789571Z,scrapes/20260327130020/7920427485.txt
7920431821,20260327080052,2026-03-27T08:00:52Z,9885,2015,Infiniti,QX60,123000,SUV,silver,excellent,clean,,,,,vertex,gemini-2.5-flash,2026-03-27T08:12:17.247139Z,scrapes/20260327080052/7920431821.txt
7920512453,20260327090006,2026-03-27T09:00:06Z,13900,2015,Audi,S5,102989,convertible,blue,good,clean,,,,,vertex,gemini-2.5-flash,2026-03-27T09:12:20.447577Z,scrapes/20260327090006/7920512453.txt
7920756738,20260328140033,2026-03-28T14:00:33Z,4900,2006,Acura,MDX,145102,SUV,white,,clean,,,,,vertex,gemini-2.5-flash,2026-03-28T14:12:20.660246Z,scrapes/20260328140033/7920756738.txt
7920757848,20260330080019,2026-03-30T08:00:19Z,11900,2014,Acura,MDX,145379,SUV,blue,Used,clean,,,,,vertex,gemini-2.5-flash,2026-03-30T08:12:27.237271Z,scrapes/20260330080019/7920757848.txt
